shipment_id,date,importer_id,exporter_id,origin_country,destination_country,hs_code,transport_mode,weight_kg,declared_value_usd,market_value_usd,under_valuation_pct,past_violations,doc_anomaly_score,network_risk_score,odd_route_flag,offhour_flag,risk_score,risk_label
SHP000016,2025-02-07,IMP1188,EXP2876,IND,GBR,870323,Sea,921.09,10029.8,33432.68,0.7000001196434148,0,0.255,0.023,0,0,35.78500538395367,0
SHP000017,2023-11-28,IMP2827,EXP5808,BRA,USA,620342,Air,886.65,3923.64,13078.81,0.7000002293786667,0,0.335,0.205,0,0,40.625010322040005,0
SHP000018,2023-06-24,IMP9201,EXP3927,IND,GBR,070310,Land,3021.94,2940.24,9800.8,0.7,0,0.345,0.172,0,0,40.114999999999995,0
SHP000019,2024-11-05,IMP4258,EXP3504,USA,GBR,640399,Air,3576.77,18764.74,62549.13,0.6999999840125674,0,0.062,0.355,0,0,39.529999280565534,0
SHP000020,2024-12-22,IMP1009,EXP6310,CHN,GBR,870899,Land,839.94,17091.94,56973.12,0.6999999297914525,1,0.018,0.353,0,1,52.829996840615365,0
SHP000021,2023-09-22,IMP4923,EXP1949,USA,GBR,730890,Air,551.69,7726.47,25754.9,0.7,0,0.128,0.247,0,0,38.35999999999999,0
SHP000022,2022-05-22,IMP9727,EXP3060,USA,NGA,271019,Air,301.31,13172.0,39185.1,0.6638518212279667,0,0.413,0.17,0,1,45.4683319552585,0
SHP000023,2024-12-16,IMP7932,EXP4470,IND,NGA,870899,Sea,1875.81,8032.61,26775.36,0.6999999253044591,0,0.439,0.134,0,1,46.76499663870066,0
SHP000024,2025-08-23,IMP7118,EXP8177,CHN,ZAF,640399,Sea,2370.64,2854.26,9514.19,0.6999996846815126,0,0.124,0.507,0,0,43.49998581066807,0
SHP000025,2022-05-12,IMP6539,EXP1344,IND,ZAF,300490,Sea,2809.15,3142.94,10476.48,0.70000038180763,0,0.146,0.371,0,0,41.11001718134335,0
SHP000026,2022-05-26,IMP1964,EXP4750,ZAF,GBR,880220,Sea,1757.09,11166.17,37220.58,0.700000107467428,0,0.232,0.082,0,1,42.62000483603426,0
SHP000027,2023-05-03,IMP5562,EXP8953,GBR,NGA,720839,Sea,270.58,43059.47,143531.56,0.6999999860657823,0,0.024,0.229,0,1,42.4399993729602,0
SHP000028,2023-05-13,IMP8749,EXP7669,CHN,NGA,880220,Sea,332.53,17344.16,57813.85,0.699999913515533,1,0.195,0.228,0,1,52.984996108198985,0
SHP000029,2024-04-21,IMP8651,EXP1887,USA,NGA,850440,Sea,222.59,6028.38,20094.61,0.7000001492937659,1,0.046,0.134,0,0,42.870006718219464,0
SHP000030,2023-11-26,IMP2790,EXP5073,GBR,USA,100630,Sea,913.68,17341.92,57806.41,0.7000000518973588,0,0.299,0.016,0,0,36.30500233538115,0
SHP000031,2023-01-11,IMP5563,EXP8579,BRA,NGA,851712,Sea,1042.29,23193.7,77312.34,0.7000000258690915,0,0.14,0.205,0,0,37.70000116410912,0
SHP000032,2025-02-01,IMP2604,EXP1828,USA,NGA,851712,Air,634.01,8345.3,27817.65,0.6999998202580018,0,0.152,0.153,0,0,36.839991911610085,0
SHP000033,2023-04-30,IMP3724,EXP7658,BRA,USA,070310,Land,827.43,3645.43,12151.44,0.7000001645895466,0,0.332,0.273,0,0,41.940007406529595,0
SHP000034,2022-12-04,IMP7209,EXP1035,ZAF,GBR,840733,Land,362.95,26370.09,87900.3,0.7,0,0.082,0.183,0,0,36.39,0
SHP000035,2025-02-12,IMP8973,EXP3536,DEU,ZAF,851712,Sea,1657.5,3352.96,11176.54,0.7000001789462571,0,0.092,0.09,0,0,34.68000805258157,0
SHP000036,2025-01-15,IMP1998,EXP6138,ZAF,NGA,100630,Sea,885.81,16687.55,46029.94,0.6374631381227089,0,0.159,0.15,0,0,34.0708412155219,0
SHP000037,2024-12-23,IMP3579,EXP1931,IND,NGA,870323,Land,747.46,7653.56,25511.86,0.6999999216050887,0,0.125,0.396,0,0,41.294996472228995,0
SHP000038,2022-05-20,IMP4853,EXP7615,GBR,ZAF,420222,Sea,625.93,3018.7,10062.33,0.6999999006194391,0,0.065,0.256,0,1,43.59499552787476,0
SHP000039,2025-06-22,IMP2343,EXP7868,ZAF,NGA,880220,Sea,1483.15,14841.43,49471.45,0.7000001010683939,0,0.075,0.213,0,0,36.885004548077724,0
SHP000040,2023-02-23,IMP6147,EXP4910,BRA,USA,720839,Land,1235.71,24875.42,82918.07,0.7000000120600974,0,0.328,0.5,0,0,46.420000542704386,0
SHP000041,2022-05-29,IMP1152,EXP8508,CHN,NGA,640399,Sea,1633.6,806.11,2687.03,0.6999996278418923,0,0.181,0.286,0,1,45.93498325288515,0
SHP000042,2024-11-02,IMP5345,EXP3170,USA,GBR,271019,Sea,2676.94,18436.9,61456.32,0.6999999349131221,0,0.16,0.114,0,0,36.1799970710905,0
SHP000043,2022-11-20,IMP8179,EXP9900,GBR,ZAF,610910,Sea,916.98,14410.56,48035.2,0.7,0,0.268,0.459,0,0,44.699999999999996,0
SHP000044,2025-02-09,IMP5905,EXP2697,BRA,USA,070310,Sea,926.78,10206.32,34021.05,0.6999998530321669,1,0.095,0.23,0,0,45.52499338644751,0
SHP000045,2022-08-08,IMP3546,EXP5462,USA,ZAF,620342,Sea,2209.92,5028.85,11836.78,0.5751505054584101,0,0.142,0.157,0,0,31.151772745628453,0
SHP000046,2025-07-22,IMP5325,EXP9280,ZAF,NGA,720839,Sea,422.13,5208.37,17361.23,0.6999999424003944,1,0.198,0.279,0,0,48.049997408017745,0
SHP000047,2023-07-21,IMP1722,EXP1058,NGA,GBR,271019,Sea,2429.59,12346.96,22994.73,0.4630526211875504,0,0.01,0.293,0,0,26.84736795343977,0
SHP000048,2024-06-23,IMP8007,EXP1158,CHN,NGA,620342,Sea,744.89,9647.97,32159.91,0.7000000932838432,0,0.177,0.254,0,0,39.23500419777294,0
SHP000049,2024-01-27,IMP3426,EXP8041,CHN,NGA,870899,Sea,472.87,4881.56,16271.87,0.7000000614557516,1,0.157,0.709,0,0,56.03500276550882,0
SHP000050,2022-03-23,IMP6862,EXP4441,DEU,NGA,730890,Air,947.12,2877.97,9593.23,0.6999998957598224,0,0.17,0.483,0,0,43.70999530919201,0
SHP000051,2024-04-12,IMP3532,EXP4878,GBR,USA,730890,Air,811.89,5700.24,19000.8,0.7,0,0.208,0.062,0,0,35.86,0
SHP000052,2023-11-12,IMP7745,EXP5065,USA,ZAF,850440,Sea,183.44,9180.64,30602.14,0.7000000653549066,0,0.052,0.172,0,0,35.720002940970794,0
SHP000053,2024-08-21,IMP4644,EXP4269,USA,NGA,840733,Air,1187.1,1691.75,5639.17,0.7000001773310611,0,0.237,0.171,0,0,38.475007979897754,0
SHP000054,2023-04-12,IMP4652,EXP1387,IND,USA,730890,Sea,1409.25,3186.43,10621.43,0.6999999058507188,0,0.099,0.043,0,0,33.84499576328235,0
SHP000055,2022-05-23,IMP5573,EXP6753,UAE,USA,720839,Sea,1558.92,10489.39,34964.64,0.7000000572006462,0,0.207,0.417,0,1,48.945002574029076,0
SHP000056,2022-02-26,IMP2889,EXP5279,UAE,GBR,870899,Sea,1694.66,15480.75,51602.49,0.6999999418632705,0,0.143,0.115,0,0,35.94499738384717,0
SHP000057,2024-06-08,IMP6663,EXP6139,DEU,NGA,100630,Sea,990.54,2682.14,8940.45,0.6999994407440342,0,0.282,0.498,0,0,45.689974833481536,0
SHP000058,2025-03-26,IMP4114,EXP5173,BRA,GBR,300490,Sea,571.61,21331.23,71104.1,0.7,0,0.203,0.126,0,0,37.065,0
SHP000059,2025-01-07,IMP4228,EXP6967,UAE,NGA,070310,Sea,325.85,7407.94,24693.14,0.7000000809941547,1,0.214,0.409,0,0,50.89000364473696,0
SHP000060,2022-09-13,IMP5920,EXP9308,NLD,GBR,940350,Sea,2492.43,3720.52,12401.72,0.6999996774640938,0,0.142,0.21,0,1,43.82998548588422,0
SHP000061,2023-08-29,IMP3085,EXP4143,UAE,NGA,720839,Sea,1005.56,30206.26,100687.55,0.7000000496585725,0,0.229,0.122,0,0,37.375002234635765,0
SHP000062,2023-09-09,IMP7653,EXP9977,UAE,GBR,420222,Sea,6039.99,30170.41,100568.02,0.6999999602259247,0,0.099,0.479,0,1,48.564998210166614,0
SHP000063,2025-04-02,IMP6279,EXP8618,DEU,USA,640399,Sea,2417.14,16274.39,54247.97,0.7000000184338695,0,0.269,0.232,0,0,40.17500082952412,0
SHP000064,2022-12-14,IMP2389,EXP5649,ZAF,GBR,870323,Sea,1340.77,4211.23,14037.43,0.6999999287618888,0,0.43,0.436,0,1,52.669996794285,0
SHP000065,2023-04-27,IMP6085,EXP4680,NLD,GBR,271019,Air,889.79,7097.25,23657.51,0.7000001268096262,0,0.128,0.177,0,0,36.96000570643318,0
SHP000066,2024-08-31,IMP2193,EXP8461,CHN,USA,070310,Sea,353.41,5655.25,18850.83,0.699999946951938,0,0.373,0.32,0,0,43.49499761283721,0
SHP000067,2023-05-15,IMP3417,EXP1090,ZAF,GBR,840733,Sea,1060.25,5487.66,18292.19,0.6999998359955806,0,0.04,0.255,0,0,37.19999261980113,0
SHP000068,2024-11-26,IMP8611,EXP1822,GBR,ZAF,850440,Sea,1410.66,2564.66,8548.88,0.7000004678975491,0,0.064,0.343,0,0,39.32002105538971,0
SHP000069,2024-08-09,IMP9702,EXP6198,USA,GBR,851712,Sea,115.07,4676.5,15588.34,0.700000128301025,0,0.246,0.101,0,0,37.21000577354613,0
SHP000070,2024-10-30,IMP7991,EXP9976,IND,ZAF,940350,Air,817.39,52121.79,173739.3,0.7,0,0.187,0.109,0,0,36.485,0
SHP000071,2023-05-22,IMP5543,EXP9540,CHN,GBR,852872,Sea,1676.26,3848.34,12827.81,0.7000002338668876,1,0.225,0.326,0,0,49.39501052400994,0
SHP000072,2023-08-09,IMP4841,EXP5451,ZAF,GBR,620342,Sea,460.94,6651.48,22171.6,0.7,0,0.13,0.406,0,0,41.56999999999999,0
SHP000073,2023-04-19,IMP7275,EXP3503,BRA,NGA,271019,Sea,880.63,2590.54,8635.14,0.7000002316117631,0,0.257,0.087,0,1,43.09501042252934,0
SHP000074,2025-01-16,IMP8633,EXP7812,GBR,USA,850440,Sea,775.73,1482.67,4904.27,0.6976777379711965,0,0.395,0.34,0,0,44.120498208703836,0
SHP000075,2025-04-11,IMP1320,EXP7232,UAE,NGA,840733,Land,594.74,8029.96,26766.53,0.6999999626399089,0,0.49,0.038,0,1,45.6099983187959,0
SHP000076,2024-05-08,IMP9818,EXP9947,NLD,GBR,640399,Air,286.64,1479.13,4930.42,0.6999991887100896,0,0.052,0.214,0,0,36.55996349195403,0
SHP000077,2024-06-11,IMP8956,EXP1475,ZAF,USA,852872,Sea,968.4,17900.31,59667.69,0.6999999497215327,0,0.172,0.38,0,0,41.67999773746897,0
SHP000078,2022-09-19,IMP9751,EXP1441,UAE,GBR,420222,Air,78.85,6801.67,22672.23,0.6999999558931785,0,0.409,0.066,0,0,38.954998015193034,0
SHP000079,2022-10-05,IMP8564,EXP3977,NGA,ZAF,271019,Sea,1854.06,7021.74,19451.68,0.639016270059964,1,0.236,0.679,0,1,59.875732152698376,0
SHP000080,2023-11-01,IMP6529,EXP7211,UAE,NGA,720839,Sea,2521.87,5663.46,18878.2,0.7,0,0.053,0.298,0,0,38.254999999999995,0
SHP000081,2024-08-21,IMP1317,EXP9837,UAE,NGA,620342,Air,214.78,5134.56,17115.21,0.7000001752826871,0,0.05,0.354,0,0,39.33000788772092,0
SHP000082,2025-08-27,IMP1659,EXP1508,NLD,NGA,610910,Sea,787.34,14517.41,48391.36,0.6999999586703081,0,0.542,0.297,0,0,45.56999814016386,0
SHP000083,2023-05-04,IMP3068,EXP8758,CHN,ZAF,070310,Sea,1245.22,11879.27,39597.58,0.7000001010162742,0,0.129,0.018,0,0,33.79500454573234,0
SHP000084,2024-01-26,IMP3749,EXP2876,ZAF,USA,851712,Sea,1243.2,2478.17,8260.57,0.7000001210570215,0,0.26,0.493,0,0,45.260005447565966,0
SHP000085,2022-02-22,IMP6111,EXP7149,CHN,USA,640399,Sea,1102.75,6698.12,22327.07,0.7000000447886803,0,0.346,0.467,0,0,46.03000201549061,0
SHP000086,2025-07-08,IMP4978,EXP2669,ZAF,GBR,271019,Sea,297.19,3272.71,10909.03,0.6999999083328216,0,0.122,0.283,0,0,38.98999587497697,0
SHP000087,2025-03-05,IMP1672,EXP6688,DEU,USA,940350,Air,1747.11,5541.72,18472.41,0.7000001624043641,1,0.293,0.26,0,0,49.09500730819639,0
SHP000088,2023-11-30,IMP1207,EXP7882,NLD,GBR,271019,Sea,1825.23,3163.22,10544.07,0.700000094840038,0,0.272,0.192,0,0,39.420004267801716,0
SHP000089,2025-07-25,IMP8532,EXP3506,GBR,USA,850440,Land,1323.64,9917.03,33056.77,0.7000000302509894,0,0.405,0.151,0,0,40.59500136129453,0
SHP000090,2025-01-07,IMP8921,EXP8616,BRA,GBR,620342,Sea,1197.03,12107.56,40358.52,0.6999999008883377,0,0.334,0.104,0,0,38.5899955399752,0
SHP000091,2022-06-27,IMP5569,EXP8385,DEU,GBR,720839,Air,978.14,18512.63,37826.6,0.5105922816219274,0,0.204,0.376,0,0,33.55665267298673,0
SHP000092,2024-02-16,IMP6511,EXP1470,IND,NGA,880220,Sea,833.01,10292.28,34307.6,0.7,0,0.102,0.575,0,0,44.529999999999994,0
SHP000093,2023-12-28,IMP5232,EXP6576,NLD,GBR,420222,Sea,79.36,6355.5,21185.0,0.7,0,0.183,0.093,0,0,36.105,0
SHP000094,2023-01-27,IMP2402,EXP4954,DEU,NGA,870899,Sea,1018.99,5671.02,18903.39,0.6999998412983068,0,0.191,0.55,0,0,45.36499285842381,0
SHP000095,2024-09-02,IMP9041,EXP8342,IND,USA,870899,Air,1615.7,4971.37,16571.23,0.6999999396544493,0,0.301,0.229,0,0,40.594997284450216,0
SHP000096,2023-05-14,IMP6016,EXP7046,GBR,USA,640399,Sea,308.02,2192.39,7307.96,0.6999997263258146,0,0.358,0.15,0,0,39.86998768466166,0
SHP000097,2025-02-01,IMP6419,EXP6764,BRA,GBR,730890,Sea,745.41,8547.77,24097.71,0.6452870417977475,0,0.272,0.553,0,0,44.17791688089864,0
SHP000098,2022-09-05,IMP4155,EXP6169,DEU,USA,640399,Sea,420.99,6348.23,21160.77,0.7000000472572596,0,0.29,0.408,0,0,44.01000212657668,0
SHP000099,2024-09-18,IMP5530,EXP9595,BRA,NGA,420222,Sea,1001.8,3173.05,10576.82,0.6999996218144962,0,0.107,0.143,0,0,35.96498298165233,0
SHP000100,2024-01-10,IMP3939,EXP5952,USA,GBR,490199,Sea,497.1,30298.67,100995.57,0.7000000099014244,0,0.051,0.246,0,0,37.1850004455641,0
SHP000101,2022-04-22,IMP5786,EXP3068,BRA,NGA,401110,Sea,1563.47,5174.03,17246.78,0.7000002319273511,0,0.073,0.332,0,0,39.235010436730796,0
SHP000102,2025-03-21,IMP5658,EXP8690,IND,GBR,300490,Air,819.75,6165.94,20553.12,0.6999998053823459,0,0.024,0.248,0,0,36.81999124220556,0
SHP000103,2023-06-02,IMP8827,EXP2869,NLD,GBR,420222,Land,1552.12,10516.58,35055.28,0.7000001141054928,1,0.058,0.128,0,0,42.93000513474718,0
SHP000104,2025-07-13,IMP1878,EXP3485,UAE,USA,852872,Sea,250.82,22056.62,73522.08,0.7000000544054249,0,0.098,0.017,0,0,33.31000244824413,0
SHP000105,2022-08-31,IMP7818,EXP4697,DEU,NGA,271019,Land,409.94,1519.94,5066.46,0.6999996052470561,0,0.237,0.405,0,0,43.154982236117526,0
SHP000106,2023-09-01,IMP8025,EXP6003,UAE,USA,851712,Land,475.9,2873.07,9576.89,0.699999686745906,0,0.004,0.122,0,0,33.999985903565765,0
SHP000107,2022-07-23,IMP4404,EXP4457,NGA,GBR,940350,Land,986.28,3060.67,7956.3,0.6153149076832196,0,0.52,0.102,0,0,37.52917084574488,0
SHP000108,2025-02-04,IMP2229,EXP3564,USA,NGA,420222,Sea,684.48,6811.12,22703.75,0.7000002202279358,0,0.105,0.32,0,0,39.475009910257114,0
SHP000109,2022-03-08,IMP4792,EXP5720,IND,NGA,940350,Sea,505.66,3489.53,11631.78,0.7000003438854586,1,0.113,0.179,0,0,44.77501547484564,0
SHP000110,2023-06-26,IMP4241,EXP7965,IND,USA,271019,Sea,323.69,5885.72,19619.06,0.6999998980583167,0,0.202,0.286,0,1,46.24999541262425,0
SHP000111,2022-10-19,IMP2169,EXP1977,ZAF,NGA,401110,Land,5521.72,12263.14,40877.12,0.6999999021457481,0,0.108,0.41,0,0,41.31999559655867,0
SHP000112,2025-03-11,IMP5728,EXP8195,DEU,NGA,940350,Air,3407.78,8825.93,29419.78,0.7000001359629473,0,0.063,0.076,0,0,33.96500611833263,0
SHP000113,2024-10-21,IMP9847,EXP9090,DEU,NGA,840733,Land,763.19,6113.34,20377.81,0.7000001472189603,0,0.125,0.049,0,1,40.35500662485321,0
SHP000114,2025-05-21,IMP5102,EXP1423,NGA,GBR,850440,Air,367.18,4614.16,15380.53,0.6999999349827346,0,0.122,0.361,0,0,40.54999707422306,0
SHP000115,2022-12-25,IMP8708,EXP9502,GBR,NGA,620342,Sea,301.67,7187.52,23958.4,0.7,0,0.151,0.219,0,0,38.144999999999996,0
SHP000116,2024-06-11,IMP9056,EXP2494,DEU,USA,420222,Land,932.46,3772.03,12573.44,0.7000001590654585,0,0.192,0.38,0,0,41.980007157945636,0
SHP000117,2022-08-03,IMP3634,EXP6403,UAE,GBR,720839,Sea,420.03,5317.55,15895.01,0.6654579015678506,0,0.156,0.321,0,0,38.705605570553274,0
SHP000118,2024-03-31,IMP1601,EXP8451,IND,GBR,640399,Sea,508.97,19436.11,64787.02,0.6999999382592377,0,0.107,0.473,0,0,42.56499722166569,0
SHP000119,2024-04-07,IMP9431,EXP1018,DEU,NGA,720839,Sea,579.96,18072.27,60240.89,0.699999950199939,0,0.167,0.305,0,1,46.10499775899726,0
SHP000120,2023-01-20,IMP9494,EXP6927,BRA,USA,851712,Sea,995.03,1834.34,6114.47,0.7000001635464725,0,0.408,0.007,0,0,37.76000735959126,0
SHP000121,2023-02-21,IMP5375,EXP9998,IND,GBR,851712,Air,935.79,5666.99,18889.96,0.6999998941236509,0,0.169,0.136,0,0,36.754995235564294,0
SHP000122,2024-09-19,IMP2989,EXP1472,DEU,NGA,851712,Air,1853.26,3355.38,11184.6,0.7,0,0.081,0.316,0,0,39.035,0
SHP000123,2022-01-29,IMP7684,EXP2527,CHN,ZAF,420222,Sea,989.04,3344.65,11148.82,0.6999996412176356,0,0.215,0.495,0,1,50.6249838547936,0
SHP000124,2025-08-19,IMP3522,EXP9165,USA,NGA,851712,Land,355.34,7013.97,14569.36,0.5185807749962936,0,0.293,0.421,0,0,36.15113487483321,0
SHP000125,2024-04-30,IMP8905,EXP8736,DEU,ZAF,870323,Air,152.98,3075.71,10252.37,0.7000000975384228,0,0.113,0.51,0,0,43.39500438922903,0
SHP000126,2025-05-12,IMP9327,EXP3236,BRA,NGA,401110,Sea,991.82,5194.71,17315.69,0.6999998267467251,0,0.129,0.236,0,0,38.15499220360263,0
SHP000127,2024-11-05,IMP5377,EXP1042,DEU,ZAF,850440,Sea,518.38,7630.65,25435.51,0.7000001179453449,0,0.234,0.359,0,0,42.19000530754052,0
SHP000128,2025-09-13,IMP9022,EXP3434,DEU,NGA,880220,Sea,699.22,5331.48,17771.59,0.6999998311912441,0,0.493,0.209,0,0,43.07499240360598,0
SHP000129,2025-01-17,IMP7180,EXP8460,IND,GBR,730890,Sea,477.31,2143.43,7144.76,0.6999997200745722,0,0.02,0.24,0,0,36.59998740335575,0
SHP000130,2023-04-24,IMP7730,EXP1715,CHN,ZAF,610910,Sea,1182.71,14765.36,49217.85,0.6999998984108408,1,0.04,0.418,0,0,48.45999542848784,0
SHP000131,2025-08-28,IMP3492,EXP9115,IND,NGA,840733,Sea,567.07,2218.04,7393.48,0.7000005410172205,0,0.036,0.606,0,0,44.16002434577492,0
SHP000132,2023-11-11,IMP2644,EXP8213,USA,ZAF,870323,Land,319.67,5859.09,19530.3,0.7,0,0.148,0.101,0,0,35.74,0
SHP000133,2024-04-19,IMP3529,EXP2225,IND,NGA,070310,Air,960.83,9940.2,33133.99,0.6999999094585349,0,0.079,0.428,0,0,41.24499592563407,0
SHP000134,2024-03-25,IMP2315,EXP6383,DEU,GBR,720839,Sea,400.45,1186.26,3954.21,0.7000007586850471,0,0.471,0.184,0,0,42.245034140827116,0
SHP000135,2025-07-07,IMP8994,EXP9864,BRA,ZAF,840733,Land,236.27,13480.96,44936.52,0.6999999109855414,1,0.192,0.588,0,0,54.13999599434936,0
SHP000136,2023-08-12,IMP4727,EXP2480,USA,NGA,610910,Sea,981.25,7720.42,25734.73,0.6999999611420054,0,0.263,0.045,0,1,42.344998251390244,0
SHP000137,2023-09-06,IMP1474,EXP1753,USA,GBR,300490,Sea,2032.98,4726.41,15689.4,0.6987513862862824,1,0.163,0.229,0,0,46.4688123828827,0
SHP000138,2024-06-01,IMP3385,EXP5000,GBR,NGA,640399,Sea,391.17,4828.26,16094.21,0.7000001864024391,1,0.129,0.332,0,0,48.07500838810976,0
SHP000139,2025-06-02,IMP7267,EXP4945,CHN,GBR,420222,Sea,433.1,11425.55,38085.16,0.6999999474861075,0,0.33,0.035,0,0,37.14999763687484,0
SHP000140,2023-06-05,IMP8529,EXP5183,CHN,GBR,610910,Sea,2562.22,5314.65,17715.51,0.7000001693431349,0,0.188,0.09,0,0,36.120007620441065,0
SHP000141,2022-11-20,IMP2210,EXP8237,IND,USA,640399,Sea,852.12,3403.64,11345.46,0.6999998237180334,0,0.235,0.14,0,0,37.8249920673115,0
SHP000142,2024-07-24,IMP5949,EXP4263,DEU,ZAF,850440,Sea,966.69,1878.42,6261.4,0.7,0,0.416,0.357,0,0,44.879999999999995,0
SHP000143,2025-03-17,IMP6881,EXP5847,IND,ZAF,300490,Sea,402.56,2557.46,8524.88,0.7000004692148158,0,0.266,0.175,0,0,38.99002111466671,0
SHP000144,2025-09-10,IMP7484,EXP5497,DEU,ZAF,070310,Land,1214.89,14044.54,46815.15,0.7000001068030328,0,0.138,0.485,0,1,49.270004806136484,0
SHP000145,2023-08-10,IMP4770,EXP6772,GBR,NGA,940350,Air,257.6,6804.33,22681.09,0.6999998677312246,0,0.359,0.08,0,0,38.484994047905104,0
SHP000146,2025-09-12,IMP3240,EXP2591,ZAF,NGA,940350,Sea,1529.45,1481.98,4939.92,0.6999991902702878,0,0.443,0.223,0,0,42.60496356216295,0
SHP000147,2022-03-10,IMP6977,EXP3153,NGA,ZAF,640399,Air,322.97,11687.28,38957.61,0.7000000770067774,0,0.365,0.227,0,0,41.51500346530498,0
SHP000148,2022-12-26,IMP4289,EXP3165,DEU,NGA,720839,Air,2759.12,2073.06,6910.21,0.7000004341402071,0,0.144,0.516,0,0,43.980019536309314,0
SHP000149,2023-07-13,IMP3695,EXP5210,NLD,USA,870323,Sea,1374.97,6959.06,23196.86,0.6999999137814342,0,0.144,0.54,0,1,50.45999612016453,0
SHP000150,2023-11-25,IMP2886,EXP8673,IND,ZAF,640399,Air,475.61,6113.85,20379.51,0.7000001472066797,0,0.291,0.341,0,0,42.685006624300584,0
SHP000151,2024-03-24,IMP6992,EXP2479,USA,ZAF,610910,Air,184.2,2892.11,9640.38,0.7000004149214034,0,0.079,0.464,0,0,41.965018671463156,0
SHP000152,2024-07-20,IMP7038,EXP5295,NGA,USA,620342,Sea,748.59,5791.18,17002.83,0.6593990529811802,0,0.209,0.219,0,0,37.18795738415311,0
SHP000153,2024-08-23,IMP1410,EXP6374,NLD,GBR,300490,Sea,502.55,7117.06,23723.54,0.7000000843044503,1,0.154,0.379,0,0,49.39000379370026,0
SHP000154,2024-08-08,IMP5951,EXP7689,CHN,ZAF,271019,Sea,2791.73,2536.96,8456.54,0.7000002365033453,0,0.268,0.224,0,0,40.00001064265054,0
SHP000155,2024-10-05,IMP2902,EXP2592,GBR,NGA,100630,Sea,1049.22,4049.98,13499.93,0.6999999259255418,0,0.103,0.207,0,0,37.18499666664938,0
SHP000156,2024-01-30,IMP9850,EXP7866,BRA,NGA,401110,Sea,495.93,1018.84,3396.14,0.7000005889038732,0,0.046,0.299,0,0,38.17002650067429,0
SHP000157,2024-09-29,IMP7686,EXP5583,CHN,GBR,850440,Sea,1721.44,35536.35,118454.49,0.6999999746738178,1,0.391,0.5,0,1,61.364998860321805,0
SHP000158,2023-04-29,IMP6942,EXP2627,NLD,NGA,490199,Sea,1105.49,6060.47,20201.56,0.6999999009977447,0,0.191,0.024,0,0,34.84499554489851,0
SHP000159,2025-08-13,IMP6876,EXP1992,NLD,ZAF,870899,Land,335.61,11167.11,37223.69,0.6999999194061631,0,0.356,0.045,0,0,37.73999637327734,0
